date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:26	393258/393258	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Nov%202020%2017:23:25%20GMT	https://sadaafzal.wixsite.com/website	C:/saba-web1/saba/sadaafzal.wixsite.com/website.html	(from )
12:23:27	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://sadaafzal.wixsite.com/robots.txt		(from )
12:23:27	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/saba-web1/saba/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://sadaafzal.wixsite.com/website)
12:23:28	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/saba-web1/saba/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://sadaafzal.wixsite.com/website)
12:23:28	36299/36299	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2004%20Nov%202020%2015:43:14%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/saba-web1/saba/polyfill.io/v3/polyfill.mind82c.js	(from https://sadaafzal.wixsite.com/website)
12:23:28	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Nov%202020%2017:23:28%20GMT	https://sadaafzal.wixsite.com/website/decodeURIComponent(e	C:/saba-web1/saba/sadaafzal.wixsite.com/website/decodeURIComponent(e	(from https://sadaafzal.wixsite.com/website)
12:23:28	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/saba-web1/saba/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://sadaafzal.wixsite.com/website)
12:23:29	416568/416568	---M--	200	added ('OK')	image/png	etag:%2267f18ef1cef3afdd68201d0f44f5a2b2-1%22	https://static.parastorage.com//services/santa-resources/resources/viewer/editorUI/fonts.v10.png	C:/saba-web1/saba/static.parastorage.com/services/santa-resources/resources/viewer/editorUI/fonts.v10.png	(from https://sadaafzal.wixsite.com/website)
12:23:29	15932/15932	---MCZ	200	added ('OK')	application/json	date:Wed,%2011%20Nov%202020%2017:23:29%20GMT	https://sadaafzal.wixsite.com/website/_api/v2/dynamicmodel	C:/saba-web1/saba/sadaafzal.wixsite.com/website/_api/v2/dynamicmodel.json	(from https://sadaafzal.wixsite.com/website)
12:23:29	127161/127161	---M--	200	added ('OK')	image/png	etag:%227f891cc324ad54ffba3fc38ca3a9e957%22	https://static.wixstatic.com/media/c4881c_d088d9cdcb934c46a38b288facaa94b9~mv2.png	C:/saba-web1/saba/static.wixstatic.com/media/c4881c_d088d9cdcb934c46a38b288facaa94b9_mv2.png	(from https://sadaafzal.wixsite.com/website)
12:23:30	389695/389695	---MCZ	200	added ('OK')	application/javascript	etag:W/%2285dc901464fdba36025d5255644dae0d%22	https://static.parastorage.com/services/wix-thunderbolt/dist/clientWorker.a80edf12.bundle.min.js	C:/saba-web1/saba/static.parastorage.com/services/wix-thunderbolt/dist/clientWorker.a80edf12.bundle.min.js	(from https://sadaafzal.wixsite.com/website)
12:23:30	1015959/1015959	---MCZ	200	added ('OK')	application/javascript	etag:W/%226eba64cdc1cf59c4f48f8262b1f1dd4b%22	https://static.parastorage.com/services/wix-form-builder/1.3735.0/editor-app.bundle.min.js	C:/saba-web1/saba/static.parastorage.com/services/wix-form-builder/1.3735.0/editor-app.bundle.min.js	(from https://sadaafzal.wixsite.com/website)
12:23:30	133440/133440	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b7bff0e42bdb5eacd5a889a3ce68eada%22	https://static.parastorage.com/services/wix-form-builder/1.3735.0/viewer-app.bundle.min.js	C:/saba-web1/saba/static.parastorage.com/services/wix-form-builder/1.3735.0/viewer-app.bundle.min.js	(from https://sadaafzal.wixsite.com/website)
12:23:31	1516752/1516752	---MCZ	200	added ('OK')	application/javascript	etag:W/%22adfaffb565ff83cc334059e8a41ba3f4%22	https://static.parastorage.com/services/editor-elements/1.3101.0/componentSSRSdks.bundle.js	C:/saba-web1/saba/static.parastorage.com/services/editor-elements/1.3101.0/componentSSRSdks.bundle.js	(from https://sadaafzal.wixsite.com/website)
12:23:31	57919/57919	---M-Z	200	added ('OK')	application/javascript	etag:W/%22abd67b3ff85005a9bf14e0ec06677d30%22	https://static.parastorage.com/services/editor-elements/dist/componentSdks.e7394a5a.bundle.min.js	C:/saba-web1/saba/static.parastorage.com/services/editor-elements/dist/componentSdks.e7394a5a.bundle.min.js	(from https://sadaafzal.wixsite.com/website)
12:23:31	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Nov%202020%2017:23:31%20GMT	https://sadaafzal.wixsite.com/website/robots.txt	C:/saba-web1/saba/sadaafzal.wixsite.com/website/robots.txt	(from https://sadaafzal.wixsite.com/website)
12:23:31	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Nov%202020%2017:23:31%20GMT	https://sadaafzal.wixsite.com/website/wix-thunderbolt/dist/	C:/saba-web1/saba/sadaafzal.wixsite.com/website/wix-thunderbolt/dist/index.html	(from https://sadaafzal.wixsite.com/website)
12:23:31	264/264	---M--	200	added ('OK')	text/xml	etag:54d399f86a9623c9d9c4c86bffbfe4b5	https://sadaafzal.wixsite.com/website/sitemap.xml	C:/saba-web1/saba/sadaafzal.wixsite.com/website/sitemap.xml	(from https://sadaafzal.wixsite.com/website)
12:23:32	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Nov%202020%2017:23:31%20GMT	https://sadaafzal.wixsite.com/website/feed.xml	C:/saba-web1/saba/sadaafzal.wixsite.com/website/feed.xml	(from https://sadaafzal.wixsite.com/website)
12:23:32	469/469	---M--	200	added ('OK')	application/javascript	etag:%2214486794b359f5b08c18da7f88af22a2%22	https://static.parastorage.com/services/editor-elements/dist/siteAssets.6f67ad30.chunk.min.js	C:/saba-web1/saba/static.parastorage.com/services/editor-elements/dist/siteAssets.6f67ad30.chunk.min.js	(from https://sadaafzal.wixsite.com/website)
12:23:32	1659/1659	---M-Z	200	added ('OK')	application/javascript	etag:W/%222503110b058e9460e9f57a6e373854da%22	https://static.parastorage.com/services/editor-elements/dist/webpack-runtime.92ea2666.bundle.min.js	C:/saba-web1/saba/static.parastorage.com/services/editor-elements/dist/webpack-runtime.92ea2666.bundle.min.js	(from https://sadaafzal.wixsite.com/website)
12:23:32	111343/111343	---MCZ	200	added ('OK')	application/javascript	etag:W/%22693da9d056f5008672aff67d32b276bc%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.7771f8d2.chunk.min.js	C:/saba-web1/saba/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.7771f8d2.chunk.min.js	(from https://sadaafzal.wixsite.com/website)
12:23:33	220684/220684	---MCZ	200	added ('OK')	application/javascript	etag:W/%2247d5c1d6aed12daef50d89297d0ddd89%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.413eceaf.chunk.min.js	C:/saba-web1/saba/static.parastorage.com/services/wix-thunderbolt/dist/main.413eceaf.chunk.min.js	(from https://sadaafzal.wixsite.com/website)
12:23:33	73261/73261	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bc0594c54450e8ac689739b6b198067a%22	https://static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	C:/saba-web1/saba/static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	(from https://sadaafzal.wixsite.com/website)
12:23:33	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Nov%202020%2017:23:33%20GMT	https://sadaafzal.wixsite.com/website/$&/	C:/saba-web1/saba/sadaafzal.wixsite.com/website/$&/index.html	(from https://sadaafzal.wixsite.com/website)
